end_time,time_step,sensor,speed,altitude,Pdetect,target_x,target_y,Time to Detect,Cost ($M),mission_type,found_quantity,treatment,replicate
18.0,0.0002777777777777778,b,0.9,13000.0,0.5,8.979086952306481,89.14545989217916,,23.47,1.0,0,106.0,3.0
18.0,0.0002777777777777778,c,0.9,13000.0,0.5,48.88732446161128,39.50607897751658,0.22423093010875383,32.47,1.0,1,107.0,3.0
18.0,0.0002777777777777778,a,0.4,17000.0,0.5,92.79363475621255,74.46114470844425,5.601331364374155,10.320000000000002,1.0,1,108.0,3.0
18.0,0.0002777777777777778,b,0.4,17000.0,0.5,78.76181995034763,55.275726241738234,4.479664697707313,11.270000000000001,1.0,1,109.0,3.0
18.0,0.0002777777777777778,c,0.4,17000.0,0.5,48.509422605408815,62.382508577232606,0.46716469770673585,20.270000000000003,1.0,1,110.0,3.0
18.0,0.0002777777777777778,a,0.5666666666666667,17000.0,0.5,45.527936148088635,27.039199688331262,,12.542222222222222,1.0,0,111.0,3.0
18.0,0.0002777777777777778,b,0.5666666666666667,17000.0,0.5,21.798576840935358,93.7595007939789,,13.492222222222221,1.0,0,112.0,3.0
18.0,0.0002777777777777778,c,0.5666666666666667,17000.0,0.5,17.72133808018236,76.96547153578979,,22.49222222222222,1.0,0,113.0,3.0
18.0,0.0002777777777777778,a,0.7333333333333334,17000.0,0.5,7.3623669219357595,14.559502906990662,,17.54222222222223,1.0,0,114.0,3.0
18.0,0.0002777777777777778,b,0.7333333333333334,17000.0,0.5,89.23931875870925,53.74343699445735,5.05623124925486,18.492222222222228,1.0,1,115.0,3.0
18.0,0.0002777777777777778,c,0.7333333333333334,17000.0,0.5,64.01766168990589,99.57863055555855,2.760397915921167,27.492222222222228,1.0,1,116.0,3.0
18.0,0.0002777777777777778,a,0.9,17000.0,0.5,14.333231747132135,4.905633250513164,,25.320000000000004,1.0,0,117.0,3.0
18.0,0.0002777777777777778,b,0.9,17000.0,0.5,41.41269197162073,30.28198379176135,0.8351287545363506,26.270000000000003,1.0,1,118.0,3.0
18.0,0.0002777777777777778,c,0.9,17000.0,0.5,4.910892439787363,74.08133713521663,1.5579065323142414,35.27,1.0,1,119.0,3.0
18.0,0.0002777777777777778,a,0.4,21000.0,0.5,20.937334952236363,3.9361447652614845,,14.080000000000002,1.0,0,120.0,3.0
18.0,0.0002777777777777778,b,0.4,21000.0,0.5,73.07081241290383,74.66710909922583,1.2533530380566522,15.030000000000001,1.0,1,121.0,3.0
